Title	URL	Assignees	Status	Sprint	Card Type	Time Estimate
continue implementing the user profile view for the customer - still frontend	https://github.com/PetPamper/PetPamper/issues/50	karinerafla	Done in "Sprint 5"	Sprint 5	Task	6h-8h
Implemented the interface for the profile as i the figma. with all the components displayed		karinerafla	Done in "Sprint 5"			
Implemented the switch button to switch between user login Screen and groomer login screen		Shinsaegae	Done in "Sprint 5"			
finished the home screen with pets and reservations		B6Amine	Done in "Sprint 5"			
Make Main pass the CI	https://github.com/PetPamper/PetPamper/issues/58	Chocolat2	Done in "Sprint 6"			
Add unit tests on Groomer data class	https://github.com/PetPamper/PetPamper/issues/66	Chocolat2	Done in "Sprint 6"	Sprint 6	Task	<1h
Add unit tests on GroomerReview data class	https://github.com/PetPamper/PetPamper/issues/67	Chocolat2	Done in "Sprint 6"	Sprint 6	Task	<1h
make the groomer interface and a calendar to enter his available hours	https://github.com/PetPamper/PetPamper/issues/76	chtidaba	Done in "Sprint 6"	Sprint 6	Task	8h+ (Too long, shoud be broken down)
Fix some workflow buggs that crashes the app, like trying to register with an email that already exists	https://github.com/PetPamper/PetPamper/issues/77	chtidaba, Shinsaegae	Done in "Sprint 6"	Sprint 6	Task	6h-8h
Login Switch for user and groomer	https://github.com/PetPamper/PetPamper/issues/78	Shinsaegae	Done in "Sprint 6"	Sprint 6	Task	6h-8h
modify pins on maps screen	https://github.com/PetPamper/PetPamper/issues/60	karinerafla	Done in "Sprint 6"	Sprint 6	Task	2h-4h
fetch data for user profile		chtidaba	Done in "Sprint 6"	Sprint 6	Task	1h-2h
Implement a functionality that lets the user modify his address within the app (after registration)	https://github.com/PetPamper/PetPamper/issues/83	karinerafla	Done in "Sprint 7"	Sprint 7	Task	6h-8h
add functionnality: In the groomer registration, when you click on simething the forward arrow button and the linear progression bar go above the keybord.		Shinsaegae	Done in "Sprint 7"	Sprint 6	Task	1h-2h
move the I have already a user account button showup in the loginscreen.		Shinsaegae	Done in "Sprint 7"	Sprint 6	Task	1h-2h
create the pet database: connect pet ui to database	https://github.com/PetPamper/PetPamper/issues/85	Shinsaegae	Done in "Sprint 7"	Sprint 7	Task	4h-6h
finished the groomer reservation workflow for the user		chtidaba	Done in "Sprint 7"	Sprint 8	Task	8h+ (Too long, shoud be broken down)
added functionnalities to the chat		B6Amine	Done in "Sprint 7"	Sprint 8	Task	6h-8h
Add a marker of users location and focus to it when launching map screen	https://github.com/PetPamper/PetPamper/issues/98	karinerafla	Done in "Sprint 8"	Sprint 8	Task	2h-4h
fix zoom on address and make sure address is updated on firebase	https://github.com/PetPamper/PetPamper/issues/97	karinerafla	Done in "Sprint 8"	Sprint 8	Task	6h-8h
start working on prd	https://github.com/PetPamper/PetPamper/issues/99	karinerafla	Done in "Sprint 8"	Sprint 8	Task	2h-4h
Complete user flow on Home Screen, by adding functionality to add pets and manage them in general		Shinsaegae	Done in "Sprint 8"	Sprint 8	Task	6h-8h
implemented chat using Stream API		B6Amine, chtidaba	Done in "Sprint 8"	Sprint 9	Task	8h+ (Too long, shoud be broken down)
added the reservation to the home screen under My reservations		chtidaba	Done in "Sprint 8"	Sprint 9	Task	2h-4h
